Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
2124,EVI2B,ecotropic viral integration site 2B,GO:0045660 positive regulation of neutrophil differentiation;GO:0045658 regulation of neutrophil differentiation;GO:0030854 positive regulation of granulocyte differentiation,,CD markers,Plasma membrane (Approved),,
4869,NPM1,nucleophosmin 1,GO:0060735 regulation of eIF2 alpha phosphorylation by dsRNA;GO:1902629 regulation of mRNA stability involved in cellular response to UV;GO:0010825 positive regulation of centrosome duplication,,Predicted intracellular proteins; Cancer-related genes:Mutated cancer genes; Human disease related genes:Cancers:Cancers of haematopoietic and lymphoid tissues; Cancer-related genes:Mutational cancer driver genes; Disease related genes,Nucleoli rim (Enhanced); Additional: Nucleoplasm,(M258)PID BARD1 PATHWAY; (M14)PID AURORA B PATHWAY; (M255)PID HIF1 TFPATHWAY,(M5928)HALLMARK MYC TARGETS V2; (M5922)HALLMARK UNFOLDED PROTEIN RESPONSE; (M5926)HALLMARK MYC TARGETS V1
4747,NEFL,neurofilament light chain,GO:0045105 intermediate filament polymerization or depolymerization;GO:1903937 response to acrylamide;GO:0033693 neurofilament bundle assembly,,Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Predicted intracellular proteins; Disease related genes,Intermediate filaments;Nucleoplasm (Approved); Additional: Midbody,,
55082,ARGLU1,arginine and glutamate rich 1,,,Predicted intracellular proteins,Nucleoplasm (Enhanced); Additional: Cytosol;Mitochondria,,
169966,TENT5D,terminal nucleotidyltransferase 5D,GO:0048255 mRNA stabilization;GO:0043489 RNA stabilization;GO:1902373 negative regulation of mRNA catabolic process,,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,,,
408263,FNDC9,fibronectin type III domain containing 9,,,,,,
64805,P2RY12,purinergic receptor P2Y12,GO:0033626 positive regulation of integrin activation by cell surface receptor linked signal transduction;GO:0035585 calcium-mediated signaling using extracellular calcium source;GO:1904141 positive regulation of microglial cell migration,,Human disease related genes:Cardiovascular diseases:Hematologic diseases; G-protein coupled receptors:GPCRs excl olfactory receptors; FDA approved drug targets:Small molecule drugs; Transporters; Disease related genes; G-protein coupled receptors:Adenosine and adenine nucleotide receptors,,,
52,ACP1,acid phosphatase 1,,,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Cytosol,(M273)PID EPHA2 FWD PATHWAY,(M5926)HALLMARK MYC TARGETS V1; (M5934)HALLMARK XENOBIOTIC METABOLISM
7314,UBB,ubiquitin B,GO:1902527 positive regulation of protein monoubiquitination;GO:1902525 regulation of protein monoubiquitination;GO:1902255 positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator,,Predicted intracellular proteins,,,
64922,LRRC19,leucine rich repeat containing 19,GO:0032637 interleukin-8 production;GO:0048874 host-mediated regulation of intestinal microbiota composition;GO:0001816 cytokine production,,,,,
401494,HACD4,3-hydroxyacyl-CoA dehydratase 4,GO:0042761 very long-chain fatty acid biosynthetic process;GO:0030497 fatty acid elongation;GO:0000038 very long-chain fatty acid metabolic process,,ENZYME proteins:Lyases; Enzymes,,,
27429,HTRA2,HtrA serine peptidase 2,GO:0019742 pentacyclic triterpenoid metabolic process;GO:1904924 negative regulation of mitophagy in response to mitochondrial depolarization;GO:0006722 triterpenoid metabolic process,,Enzymes; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of amino acid metabolism; Potential drug targets; Peptidases:Serine-type peptidases; ENZYME proteins:Hydrolases; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Disease related genes,Mitochondria (Supported),,(M5936)HALLMARK OXIDATIVE PHOSPHORYLATION; (M5945)HALLMARK HEME METABOLISM
345062,PRSS48,serine protease 48,GO:0006508 proteolysis;GO:0019538 protein metabolic process;GO:1901564 organonitrogen compound metabolic process,,Predicted secreted proteins; Enzymes; Peptidases:Serine-type peptidases,,,
3567,IL5,interleukin 5,GO:0045643 regulation of eosinophil differentiation;GO:0045645 positive regulation of eosinophil differentiation;GO:0038043 interleukin-5-mediated signaling pathway,,Cancer-related genes:Candidate cancer biomarkers; FDA approved drug targets:Biotech drugs; Predicted secreted proteins; Predicted intracellular proteins,,(M135)PID IL5 PATHWAY; (M60)PID NFAT TFPATHWAY; (M28)PID IL4 2PATHWAY,(M5956)HALLMARK KRAS SIGNALING DN
145748,LYSMD4,LysM domain containing 4,,,Predicted intracellular proteins,Cytosol (Approved); Additional: Actin filaments,,
4067,LYN,"LYN proto-oncogene, Src family tyrosine kinase",GO:0070447 positive regulation of oligodendrocyte progenitor proliferation;GO:0070667 negative regulation of mast cell proliferation;GO:2000670 positive regulation of dendritic cell apoptotic process,yes,Enzymes; Potential drug targets; ENZYME proteins:Transferases; Predicted intracellular proteins; Kinases:Tyr protein kinases; Cancer-related genes:Mutational cancer driver genes; Disease related genes,Golgi apparatus;Plasma membrane (Supported); Additional: Vesicles,(M135)PID IL5 PATHWAY; (M17200)SA B CELL RECEPTOR COMPLEXES; (M33)PID GLYPICAN 1PATHWAY,(M5916)HALLMARK APICAL SURFACE; (M5941)HALLMARK UV RESPONSE UP; (M5921)HALLMARK COMPLEMENT
10973,ASCC3,activating signal cointegrator 1 complex subunit 3,GO:1990116 ribosome-associated ubiquitin-dependent protein catabolic process;GO:0006307 DNA dealkylation involved in DNA repair;GO:0035510 DNA dealkylation,,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins,Cytosol (Supported); Additional: Golgi apparatus,,
4998,ORC1,origin recognition complex subunit 1,GO:0033314 mitotic DNA replication checkpoint signaling;GO:0000076 DNA replication checkpoint signaling;GO:0006270 DNA replication initiation,,Human disease related genes:Congenital malformations:Other congenital malformations; Predicted intracellular proteins; Disease related genes,Nucleoplasm (Supported),(M40)PID E2F PATHWAY,
92421,CHMP4C,charged multivesicular body protein 4C,GO:0044878 mitotic cytokinesis checkpoint signaling;GO:0090611 ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway;GO:0009838 abscission,,Predicted intracellular proteins,Cytokinetic bridge;Microtubules (Approved),,
84899,TMTC4,transmembrane O-mannosyltransferase targeting cadherins 4,GO:0032470 positive regulation of endoplasmic reticulum calcium ion concentration;GO:1905584 outer hair cell apoptotic process;GO:0035269 protein O-linked mannosylation,,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,Vesicles (Approved),,
29978,UBQLN2,ubiquilin 2,GO:1904021 negative regulation of G protein-coupled receptor internalization;GO:1900186 negative regulation of clathrin-dependent endocytosis;GO:1904020 regulation of G protein-coupled receptor internalization,,Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Predicted intracellular proteins; Disease related genes,Cytosol (Supported); Additional: Plasma membrane,,
283652,SLC24A5,solute carrier family 24 member 5,GO:0048022 negative regulation of melanin biosynthetic process;GO:1900377 negative regulation of secondary metabolite biosynthetic process;GO:0042438 melanin biosynthetic process,,Potential drug targets; Transporters:Electrochemical Potential-driven transporters; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of amino acid metabolism; Disease related genes,,,
552889,ATXN7L3B,ataxin 7 like 3B,GO:0010468 regulation of gene expression;GO:0010556 regulation of macromolecule biosynthetic process;GO:0031326 regulation of cellular biosynthetic process,,Predicted intracellular proteins; Disease related genes,Nucleoplasm (Approved),,
55743,CHFR,checkpoint with forkhead and ring finger domains,GO:0044779 meiotic spindle checkpoint signaling;GO:1902103 negative regulation of metaphase/anaphase transition of meiotic cell cycle;GO:1905133 negative regulation of meiotic chromosome separation,,Cancer-related genes:Candidate cancer biomarkers; Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,Microtubules;Nuclear bodies (Uncertain),,(M5951)HALLMARK SPERMATOGENESIS
3187,HNRNPH1,heterogeneous nuclear ribonucleoprotein H1,"GO:0043484 regulation of RNA splicing;GO:0000377 RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;GO:0000398 mRNA splicing, via spliceosome",,Predicted intracellular proteins,Nucleoplasm (Enhanced),,
203547,VMA21,vacuolar ATPase assembly factor VMA21,GO:0070072 vacuolar proton-transporting V-type ATPase complex assembly;GO:0070070 proton-transporting V-type ATPase complex assembly;GO:0070071 proton-transporting two-sector ATPase complex assembly,,Human disease related genes:Musculoskeletal diseases:Muscular diseases; Disease related genes,,,
367,AR,androgen receptor,GO:0019102 male somatic sex determination;GO:0060520 activation of prostate induction by androgen receptor signaling pathway;GO:0018993 somatic sex determination,,Human disease related genes:Cancers:Cancers of male genital organs; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; Transcription factors:Zinc-coordinating DNA-binding domains; FDA approved drug targets:Small molecule drugs; Nuclear receptors; Cancer-related genes:Mutational cancer driver genes; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Human disease related genes:Congenital malformations:Congenital malformations of genital organs; Disease related genes,Cytosol (Supported),(M213)PID AR NONGENOMIC PATHWAY; (M285)PID HNF3A PATHWAY; (M288)PID HES HEY PATHWAY,(M5948)HALLMARK BILE ACID METABOLISM; (M5906)HALLMARK ESTROGEN RESPONSE EARLY
51714,SELENOT,selenoprotein T,GO:0001514 selenocysteine incorporation;GO:0006451 translational readthrough;GO:0060124 positive regulation of growth hormone secretion,,Enzymes; Potential drug targets; Disease related genes; ENZYME proteins:Oxidoreductases,,,
285,ANGPT2,angiopoietin 2,GO:0050928 negative regulation of positive chemotaxis;GO:0048014 Tie signaling pathway;GO:0072012 glomerulus vasculature development,,Predicted secreted proteins; Human disease related genes:Congenital malformations:Congenital malformations of skin; Cancer-related genes:Candidate cancer biomarkers; FDA approved drug targets:Biotech drugs; Disease related genes; RAS pathway related proteins,,(M92)PID ANGIOPOIETIN RECEPTOR PATHWAY; (M5883)NABA SECRETED FACTORS; (M5885)NABA MATRISOME ASSOCIATED,
8633,UNC5C,unc-5 netrin receptor C,GO:0061643 chemorepulsion of axon;GO:0033564 anterior/posterior axon guidance;GO:1990791 dorsal root ganglion development,,Predicted intracellular proteins; Disease related genes,,(M108)PID NETRIN PATHWAY,(M5919)HALLMARK HEDGEHOG SIGNALING
3858,KRT10,keratin 10,GO:0051290 protein heterotetramerization;GO:0018149 peptide cross-linking;GO:0051291 protein heterooligomerization,,Predicted secreted proteins; Human disease related genes:Congenital malformations:Congenital malformations of skin; Predicted intracellular proteins; Disease related genes,,,
4809,SNU13,small nuclear ribonucleoprotein 13,GO:0000492 box C/D snoRNP assembly;GO:0000491 small nucleolar ribonucleoprotein complex assembly;GO:0000470 maturation of LSU-rRNA,,Ribosomal proteins; Predicted intracellular proteins,,,
64320,RNF25,ring finger protein 25,GO:0085020 protein K6-linked ubiquitination;GO:0072344 rescue of stalled ribosome;GO:0032790 ribosome disassembly,,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,Cytosol (Approved); Additional: Actin filaments;Nucleoplasm,,
27328,PCDH11X,protocadherin 11 X-linked,GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules;GO:0098742 cell-cell adhesion via plasma-membrane adhesion molecules;GO:0098609 cell-cell adhesion,,,,,
808,CALM3,calmodulin 3,GO:1901842 negative regulation of high voltage-gated calcium channel activity;GO:0051343 positive regulation of cyclic-nucleotide phosphodiesterase activity;GO:1905913 negative regulation of calcium ion export across plasma membrane,,Predicted intracellular proteins; Human disease related genes:Cardiovascular diseases:Cardiac diseases; Disease related genes; RAS pathway related proteins,,,(M5921)HALLMARK COMPLEMENT
27039,PKD2L2,"polycystin 2 like 2, transient receptor potential cation channel",GO:0050982 detection of mechanical stimulus;GO:0009581 detection of external stimulus;GO:0009582 detection of abiotic stimulus,,Predicted intracellular proteins; Voltage-gated ion channels:Transient Receptor Potential Channels,Plasma membrane (Approved); Additional: Cytosol,,
71,ACTG1,actin gamma 1,GO:0150111 regulation of transepithelial transport;GO:1902396 protein localization to bicellular tight junction;GO:0098974 postsynaptic actin cytoskeleton organization,,Human disease related genes:Congenital malformations:Other congenital malformations; Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Ear disease; Disease related genes,,(M16801)SIG REGULATION OF THE ACTIN CYTOSKELETON BY RHO GTPASES,(M5892)HALLMARK CHOLESTEROL HOMEOSTASIS; (M5915)HALLMARK APICAL JUNCTION
5094,PCBP2,poly(rC) binding protein 2,GO:0039694 viral RNA genome replication;GO:0075522 IRES-dependent viral translational initiation;GO:0160049 negative regulation of cGAS/STING signaling pathway,,Predicted intracellular proteins,Cytosol;Nucleoplasm (Supported),,
403314,APOBEC4,apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4,GO:0006397 mRNA processing;GO:0016071 mRNA metabolic process;GO:0006396 RNA processing,,Predicted intracellular proteins,,,
2246,FGF1,fibroblast growth factor 1,GO:0060681 branch elongation involved in ureteric bud branching;GO:0060677 ureteric bud elongation;GO:1901509 regulation of endothelial tube morphogenesis,,Predicted secreted proteins; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; FDA approved drug targets:Biotech drugs; FDA approved drug targets:Small molecule drugs; RAS pathway related proteins,Nucleoplasm (Supported),(M276)PID FGF PATHWAY; (M5883)NABA SECRETED FACTORS; (M5885)NABA MATRISOME ASSOCIATED,
23270,TSPYL4,TSPY like 4,GO:0006334 nucleosome assembly;GO:0034728 nucleosome organization;GO:0065004 protein-DNA complex assembly,,Predicted intracellular proteins,,,
415117,STX19,syntaxin 19,GO:0031629 synaptic vesicle fusion to presynaptic active zone membrane;GO:0099500 vesicle fusion to plasma membrane;GO:0048499 synaptic vesicle membrane organization,,Predicted intracellular proteins; Transporters:Accessory Factors Involved in Transport,Intermediate filaments (Approved); Additional: Cytosol,,
25957,PNISR,PNN interacting serine and arginine rich protein,,,Predicted intracellular proteins,Nuclear speckles (Supported); Additional: Cytosol;Plasma membrane,,
9068,ANGPTL1,angiopoietin like 1,GO:0007169 transmembrane receptor protein tyrosine kinase signaling pathway;GO:0007167 enzyme-linked receptor protein signaling pathway;GO:0007166 cell surface receptor signaling pathway,,Predicted secreted proteins,,(M5883)NABA SECRETED FACTORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
143662,MUC15,"mucin 15, cell surface associated",,,Predicted intracellular proteins,,(M5880)NABA ECM AFFILIATED; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
26136,TES,testin LIM domain protein,GO:0008285 negative regulation of cell population proliferation;GO:0042127 regulation of cell population proliferation;GO:0048523 negative regulation of cellular process,,Predicted intracellular proteins,Cytosol;Focal adhesion sites (Supported); Additional: Cell Junctions;Plasma membrane,,(M5891)HALLMARK HYPOXIA; (M5924)HALLMARK MTORC1 SIGNALING
128344,CIMAP3,ciliary microtubule associated protein 3,GO:0060971 embryonic heart tube left/right pattern formation;GO:0035050 embryonic heart tube development;GO:0060972 left/right pattern formation,,Predicted intracellular proteins,Vesicles (Approved),,
9122,SLC16A4,solute carrier family 16 member 4,GO:0015718 monocarboxylic acid transport;GO:0046942 carboxylic acid transport;GO:0015849 organic acid transport,,Transporters:Electrochemical Potential-driven transporters,Cytosol;Microtubules (Approved); Additional: Cytokinetic bridge,,
63926,ANKEF1,ankyrin repeat and EF-hand domain containing 1,,,Predicted intracellular proteins,Cytosol;Nucleoli fibrillar center;Plasma membrane (Approved),,
57531,HACE1,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,GO:0016601 Rac protein signal transduction;GO:0070936 protein K48-linked ubiquitination;GO:0007030 Golgi organization,,Enzymes; Disease related genes; ENZYME proteins:Transferases; Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Potential drug targets,Endoplasmic reticulum (Supported); Additional: Nuclear bodies,,
28958,COA3,cytochrome c oxidase assembly factor 3,GO:0070131 positive regulation of mitochondrial translation;GO:0033617 mitochondrial cytochrome c oxidase assembly;GO:0070129 regulation of mitochondrial translation,,Human disease related genes:Congenital disorders of metabolism:Mitochondrial diseases; Disease related genes,Mitochondria (Enhanced),,
10846,PDE10A,phosphodiesterase 10A,GO:0046069 cGMP catabolic process;GO:0010754 negative regulation of cGMP-mediated signaling;GO:0006198 cAMP catabolic process,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Enzymes; Predicted intracellular proteins; ENZYME proteins:Hydrolases; FDA approved drug targets:Small molecule drugs; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Disease related genes,,,
